	t-SNE Component 1	t-SNE Component 2	Label
0	21.66301	6.76885	Small
1	26.935602	7.772527	Small
2	33.61013	3.723639	Small
3	8.148091	1.0854285	Small
4	9.75107	17.365116	Small
5	22.770262	7.413482	Small
6	17.216799	12.979484	Small
7	9.223806	11.784072	Small
8	7.504116	15.523419	Small
9	29.78698	4.460812	Small
10	24.219627	8.819131	Small
11	8.457633	15.999341	Small
12	16.36143	10.077416	Small
13	8.289305	4.0781217	Small
14	30.67652	3.9154727	Small
15	30.42128	4.256342	Small
16	11.2368	8.973736	Small
17	2.0954943	-8.055024	Small
18	22.654066	5.6243124	Small
19	11.357994	4.4526834	Small
20	20.556456	13.354012	Small
21	11.34581	5.9111724	Small
22	24.264406	9.803471	Small
23	25.441677	7.7062554	Small
24	19.009647	13.093998	Small
25	18.384283	12.637991	Small
26	9.897936	14.927287	Small
27	13.536493	9.053271	Small
28	14.114711	7.2012005	Small
29	27.612583	6.272214	Small
30	11.045913	12.239365	Small
31	13.05781	14.143201	Small
32	19.37582	10.930762	Small
33	6.7690973	18.077333	Small
34	8.918799	15.445172	Small
35	22.12022	8.211871	Small
36	7.4861207	18.80346	Small
37	12.929731	7.361098	Small
38	8.853554	6.152839	Small
39	8.454886	13.44381	Small
40	38.05177	5.850444	Small
41	9.967668	14.936999	Small
42	9.82812	6.62207	Small
43	9.425325	7.2676854	Small
44	26.353128	8.506351	Small
45	21.365513	6.6352296	Small
46	34.8167	6.296294	Small
47	23.937508	4.87633	Small
48	28.52334	6.107492	Small
49	12.236558	5.5442333	Small
50	5.0240335	-3.6535964	Small
51	20.677803	9.1230345	Small
52	17.623592	5.8558626	Small
53	9.746949	13.218063	Small
54	9.397986	17.375774	Small
55	21.811731	7.582248	Small
56	7.879679	17.288908	Small
57	25.609432	7.188799	Small
58	6.9894586	18.444897	Small
59	22.158842	10.472597	Small
60	7.9966564	11.394886	Small
61	23.622564	8.394001	Small
62	20.129173	11.838585	Small
63	34.295242	5.8385677	Small
64	3.768303	-5.497501	Small
65	33.021706	7.737334	Small
66	31.855803	5.6836967	Small
67	37.81542	5.605793	Small
68	35.891758	5.5033007	Small
69	17.999825	6.5229597	Small
70	18.686275	10.88581	Small
71	24.83019	8.899117	Small
72	27.926443	9.453427	Small
73	14.43249	13.546939	Small
74	11.730997	9.41455	Small
75	20.843544	11.230531	Small
76	36.231285	4.895515	Small
77	30.789547	5.6028295	Small
78	37.104576	4.2139044	Small
79	10.16547	12.239945	Small
80	8.488602	-0.13971424	Small
81	34.464638	6.7139087	Small
82	28.16189	5.9565496	Small
83	30.11433	6.6637735	Small
84	23.264524	6.3131375	Small
85	35.71252	5.261904	Small
86	33.139854	5.7702136	Small
87	31.715895	5.643592	Small
88	25.012747	9.007577	Small
89	7.235691	18.682547	Small
90	29.566406	5.7530317	Small
91	26.486845	7.7089734	Small
92	17.149063	6.6419225	Small
93	13.804635	11.600496	Small
94	33.935043	6.353498	Small
95	40.74236	6.1990895	Small
96	12.643793	14.219743	Small
97	8.268499	17.98433	Small
98	8.8185835	14.180735	Small
99	8.224416	14.899511	Small
100	8.379438	16.813307	Small
101	8.758405	18.240286	Small
102	8.317489	16.292614	Small
103	21.092339	8.910748	Small
104	34.559868	5.22584	Small
105	18.378235	10.606614	Small
106	16.73911	10.533145	Small
107	8.272869	15.187894	Small
108	29.526596	5.265887	Small
109	7.780222	15.742363	Small
110	11.701897	14.0887	Small
111	22.052643	9.396702	Small
112	9.842976	16.134373	Small
113	10.792148	10.378748	Small
114	7.9412165	15.30911	Small
115	10.628149	13.6733465	Small
116	7.7618065	14.37208	Small
117	9.664276	15.359656	Small
118	7.5810285	17.755037	Small
119	8.030783	12.289363	Small
120	19.560022	8.052224	Small
121	32.040604	7.2248626	Small
122	8.179186	14.925482	Small
123	8.289081	16.126648	Small
124	9.196445	11.369314	Small
125	7.9433823	13.310223	Small
126	7.944019	14.177606	Small
127	9.749188	14.803344	Small
128	8.994888	8.349036	Small
129	25.583158	6.23256	Small
130	8.591428	15.826638	Small
131	8.993854	6.481146	Small
132	6.477008	-1.0231729	Small
133	15.155268	6.577457	Small
134	30.998943	7.5184493	Small
135	35.907143	8.026315	Small
136	9.955593	6.030695	Small
137	5.617793	-4.1435905	Small
138	29.68794	6.1062036	Small
139	16.002182	9.11151	Small
140	35.768078	5.988318	Small
141	31.447441	8.809697	Small
142	7.8896613	12.470386	Small
143	8.948128	6.895688	Small
144	13.979353	14.063684	Small
145	16.989792	4.75006	Small
146	9.648852	8.753374	Small
147	12.25933	6.7090755	Small
148	6.01207	-3.3667836	Small
149	7.728528	18.279661	Small
150	22.626013	7.437658	Small
151	12.211702	2.4059443	Small
152	2.6256635	-7.5082607	Small
153	14.1019335	4.5415726	Small
154	27.483187	5.1365647	Small
155	29.714123	7.146759	Small
156	26.370714	4.6756463	Small
157	39.923717	7.1138444	Small
158	21.782753	5.6962543	Small
159	39.63396	7.2084613	Small
160	22.87301	8.488179	Small
161	24.864567	5.2074885	Small
162	26.884623	8.952658	Small
163	35.536346	5.6184115	Small
164	20.690634	10.025172	Small
165	12.147587	2.7798176	Small
166	7.840749	18.254948	Small
167	25.527973	9.651826	Small
168	11.719384	11.952783	Small
169	38.23898	6.307192	Small
170	8.649671	4.638268	Small
171	39.736134	7.1320124	Small
172	9.291893	10.172394	Small
173	26.366156	8.361628	Small
174	7.4793553	17.720097	Small
175	13.526479	11.350567	Small
176	18.8902	9.002148	Small
177	16.531574	13.411791	Small
178	20.754791	11.058209	Small
179	12.375754	11.505747	Small
180	36.39145	5.195599	Small
181	8.771374	16.841562	Small
182	10.50519	15.758726	Small
183	33.289692	5.4258404	Small
184	38.527813	6.0453143	Small
185	31.834684	6.140277	Small
186	11.048546	12.5782585	Small
187	11.26331	8.087336	Small
188	39.608738	5.2065506	Small
189	29.805063	7.2019114	Small
190	8.110814	4.572425	Small
191	19.256918	11.817816	Small
192	18.05509	10.105276	Small
193	18.60707	11.675031	Small
194	38.621414	7.1526504	Small
195	27.910366	7.673352	Small
196	27.439234	8.822083	Small
197	23.328287	9.244097	Small
198	8.046666	17.935677	Small
199	41.387104	6.2721663	Small
200	41.7442	7.3345275	Small
201	45.217358	7.094417	Small
202	21.125912	9.490423	Small
203	3.4085941	-6.460141	Small
204	32.96855	5.793908	Small
205	37.834755	5.4804583	Small
206	30.148052	6.7984724	Small
207	32.7604	6.3796806	Small
208	19.039919	7.834578	Small
209	42.069782	5.362867	Small
210	22.793768	7.0437713	Small
211	24.355629	9.072101	Small
212	15.363583	6.7555313	Small
213	12.414689	12.313322	Small
214	11.34857	10.282326	Small
215	20.936214	4.7198462	Small
216	19.902187	5.5900106	Small
217	38.91976	4.896384	Small
218	11.968185	4.836239	Small
219	15.199743	7.8698545	Small
220	23.457533	7.695688	Small
221	41.892143	6.807499	Small
222	7.620684	14.757527	Small
223	41.364998	6.1013026	Small
224	27.787489	4.9608126	Small
225	21.131157	5.7387724	Small
