	UMAP Component 1	UMAP Component 2	Label
0	-3.8969874	8.560473	Small
1	-5.769926	9.492303	Small
2	-5.368846	13.418872	Small
3	2.9035735	5.4084315	Small
4	-4.1582046	-0.053843215	Small
5	-4.597807	8.699964	Small
6	-5.089508	4.884505	Small
7	-1.1935333	2.1148062	Small
8	-2.2411106	-0.28621766	Small
9	-4.9930377	11.475282	Small
10	-5.0707154	8.395139	Small
11	-2.9332526	-0.44980773	Small
12	-3.4527254	5.4623075	Small
13	1.5789311	4.3837986	Small
14	-5.2398987	11.952846	Small
15	-5.0635386	12.156849	Small
16	-1.5716393	4.0945354	Small
17	8.54956	1.5378311	Small
18	-3.7457204	9.147739	Small
19	0.3454987	5.692084	Small
20	-5.046771	7.0249205	Small
21	-0.15281662	5.146425	Small
22	-5.6545744	7.9568515	Small
23	-5.407991	9.498447	Small
24	-4.745849	6.350727	Small
25	-4.6669803	5.7929645	Small
26	-3.2053854	1.0033586	Small
27	-2.3489113	4.6251817	Small
28	-1.7874293	5.5252	Small
29	-5.258326	10.508704	Small
30	-2.5010023	2.8335075	Small
31	-4.194087	2.8532538	Small
32	-4.8946075	6.028489	Small
33	-5.655627	-5.4412365	Small
34	-3.0307934	0.16846712	Small
35	-4.501861	8.132799	Small
36	-5.069685	-4.1868587	Small
37	-1.2995038	5.0771	Small
38	0.75142497	3.5780523	Small
39	-1.4144167	1.1557306	Small
40	-7.410967	14.999224	Small
41	-3.2448323	1.1671238	Small
42	-0.12444042	4.415075	Small
43	0.010419476	3.8254282	Small
44	-5.887809	9.476062	Small
45	-3.7043638	8.303849	Small
46	-6.7498536	13.381945	Small
47	-3.650224	9.757018	Small
48	-5.3565507	11.040666	Small
49	-0.28868398	5.8324103	Small
50	6.0524015	4.8052397	Small
51	-4.3140364	7.6533513	Small
52	-2.2767437	7.329752	Small
53	-2.288323	1.9769405	Small
54	-4.125208	-0.46219853	Small
55	-3.861954	8.05922	Small
56	-3.9889262	-1.6469085	Small
57	-5.272318	9.666593	Small
58	-5.1809764	-4.659967	Small
59	-5.5221305	7.3363576	Small
60	-0.44422433	1.9774588	Small
61	-4.97431	8.751678	Small
62	-5.514903	6.130274	Small
63	-6.6892204	13.264204	Small
64	7.089698	3.6140568	Small
65	-7.181813	12.369139	Small
66	-6.3939376	12.3376	Small
67	-7.158173	14.643009	Small
68	-6.5988183	13.984766	Small
69	-2.4673188	7.1339207	Small
70	-4.7055316	5.8834004	Small
71	-5.6286926	8.821966	Small
72	-6.7230587	9.809641	Small
73	-4.4915123	3.8061624	Small
74	-1.8474377	4.1013417	Small
75	-5.552171	6.551026	Small
76	-6.615883	14.218171	Small
77	-5.5874805	12.137924	Small
78	-5.994408	14.315041	Small
79	-2.0707161	2.491787	Small
80	3.3079069	5.876433	Small
81	-7.006688	13.055735	Small
